Day of the week,Will it rain?,Temperature,Local funfair,Price of icecream at local supermarket,Price of catfood at local supermarket,Icecreams sold
Monday,Yes,21,No,1.2,3,42
Monday,Yes,23,No,1.5,3.2,53
Monday,No,25,No,1.5,3.4,62
Monday,Yes,21,No,1.7,3.6,46
Tuesday,No,22,No,1.2,3,56
Tuesday,No,27,No,1.5,3.2,67
Tuesday,No,31,No,1.5,3.4,76
Tuesday,No,20,No,1.7,3.6,48
Wednesday,Yes,25,No,1.2,3,59
Wednesday,No,24,No,1.5,3.2,64
Wednesday,Yes,31,No,1.5,3.4,69
Wednesday,Yes,21,No,1.7,3.6,45
Thursday,Yes,31,No,1.2,3,75
Thursday,No,29,No,1.5,3.2,71
Thursday,Yes,27,Yes,1.5,3.4,71
Thursday,No,28,Yes,1.7,3.6,80
Friday,No,25,Yes,1.2,3,72
Friday,No,24,Yes,1.5,3.2,68
Friday,Yes,22,No,1.5,3.4,50
Friday,No,19,No,1.7,3.6,49
Saturday,No,23,No,1.2,3,65
Saturday,No,24,No,1.5,3.2,66
Saturday,Yes,27,Yes,1.5,3.4,70
Saturday,No,21,Yes,1.7,3.6,66
Sunday,No,31,Yes,1.2,3,88
Sunday,Yes,30,Yes,1.5,3.2,81
Sunday,Yes,22,No,1.5,3.4,58
Sunday,No,24,No,1.7,3.6,68
